Covidence #,Study Id,Reviewer,"1 –	Was it systematic: defining objectives and setting appropriate study eligibility criteria?",,,"2 –	Were search and screening methods appropriate/clear and not likely to have missed key studies?",,,"3 –	Were findings synthesised systematically: presenting all available evidence?",,,"4 –	Was risk of bias and confounding adequately assessed and were results presented to take account of this?",,
#340,McLellan 2013,Consensus,,,,,,,,,,,,
#92,Meyer 2011,Andrew,low,"The purpose of this review is to summarize the ﬁndings of randomized controlled trials assessing the advance provision of emergency contraception (EC)
Systematic Review of Literature","

",low,"The reference lists of the six remaining articles were searched,
Articles were obtained by searching the PubMed data- base from 1950 to November 11, 2009.","

",low,,,low,Randomized trials assessing the use of EC among women assigned to advance provision versus a control group were included in this review.,"
"
#92,Meyer 2011,Consensus,,,,,,,,,,,,
#80,Nitz 1999,Andrew,high,,,high,,,high,,,high,,
#80,Nitz 1999,Consensus,,,,,,,,,,,,
#341,O'Connor 2014,Andrew,low,"To update a previous systematic review
Infections: A Systematic Review for the U.S. Preventive Services Task Force","

",low,,,low,,,low,excluded all poor-quality studies.,"
"
#341,O'Connor 2014,Consensus,,,,,,,,,,,,
#73,Ott 2007,Andrew,high,"10032, USA Abstract Purpose of <b>review—To review recent literature on medical accuracy, program effectiveness, 

and ethical concerns related to abstinence-only policies for adolescent sexuality education.</b> Recent findings—The federal government invests","
Selective review of literature on several areas",high,,,high,,,high,,
#73,Ott 2007,Consensus,,,,,,,,,,,,
#352,Pierre 1997,Andrew,high,,not SR - aiming to review programmes rather than literature,high,,not decribed,high,,may not have presented all evidence?,high,,
#352,Pierre 1997,Consensus,,,,,,,,,,,,
#59,Robin 2004,Andrew,high,"HIV, STD, and pregnancy prevention. <b>In this review we examine common characteristics 
and features among sexual risk- reduction programs 
evaluated during the 1990s.</b> We review individual studies and","
would judge not - systematic searching but not systematic inclusion? aiming to answer quite general questions?",high,"We required that studies provide a theoretical basis for the programs, information about the interventions (content, duration, facilitators), and clear aims.","
",low,,,low,"Studies were included if they used ran- dom assignment, or matched control groups using a quasi-experimental design that matched units through stratification of risk behaviors and demo- graphic variables.","
only evaluation type studies through RCT and QE - aiming for causal inference"
#59,Robin 2004,Consensus,,,,,,,,,,,,
#58,Rodriguez 2013,Andrew,low,a systematic review,"
",low,We searched MEDLINE and EMBASE,"
",low,,meta-analysis and table of included,low,"The quality of each individual study was evaluated
randomized, controlled trials (RCTs) pertaining","

RCT only - RoB analysed and taken account of"
#58,Rodriguez 2013,Consensus,,,,,,,,,,,,
#44,Sedlecky 2016,Andrew,high,The aim of this paper is to review currently recommended options of methods and counselling for effective prevention of repeat abortions in women younger than 20 years.,"
not SR of effectiveness",high,The literature review included articles,"no inclusion/exclusion criteria/methods outlined
",high,,no overall inclusion table,high,,
#44,Sedlecky 2016,Consensus,,,,,,,,,,,,
#31,SmithBattle 2017,Andrew,low,,,low,,,low,,,low,,
#31,SmithBattle 2017,Consensus,,,,,,,,,,,,
#27,Spear 2003,Andrew,low,"Research studies were not excluded based on their scientiﬁc merit to avoid exclusion of articles ger- mane to the purpose of this study. However, uni- versal standards for qualitative research study as described by Polit, Beck, and Hungler (2001) were considered when selecting articles and discussion of overall quality of the studies reviewed.
The purposes of this study were to (a) examine qualitative studies on adolescent preg- nancy and determine methods used; (b) describe and analyze primary ﬁndings; (c) develop and de- ﬁne common themes across studies; and (d) rec- ommend need for further qualitative research based on the review.","

explicitly systematic in search/inclusion",low,"Criteria for inclusion of articles in the sample included the following: (a) published in a peer- reviewed journal from 1990 to 2000; (b) cited in nursing or related literature; (c) main focus on topic of adolescent pregnancy or parenthood; and (d) primary use of qualitative methods for data collection and analysis with emphasis on narrative data. Potential articles were obtained by accessing the following computer databases: Cumulative In- dex for Allied Health and Nursing (CINAHL), Psychological Literature (PsycINFO), PubMed, EMBASE, Social Work Abstracts, Sociological Abstracts, and ERIC. Key words used included adolescent pregnancy and teenage pregnancy paired with other terms such as qualitative, grounded theory, phenomenology, ethnography, hermeneutic, and descriptive research.","
",high,,likely not presenting all data on effectiveness,high,,selection of study types precludes causal evaluation
#27,Spear 2003,Consensus,,,,,,,,,,,,
#25,Steenland 2013,Andrew,low,We conducted a systematic review to assess whether follow-up visits or contacts after a woman begins using contraception improve method continuation and correct use.,"
",low,"We included studies that compared women who initiated any method of contraception with a certain follow-up schedule of visits or contacts compared to women with a different follow- up schedule or no follow-up at all.
review articles were hand-searched
Reference lists from articles
We searched","



",low,,,low,,assessing RCTs primarily
#25,Steenland 2013,Consensus,,,,,,,,,,,,
#20,Strunk 2008,Andrew,high,,not SR for effectiveness as such,low,,,low,,,high,All of the research studies included in this review had methodologic problems,"
diverse study type - precludes causal inference"
#20,Strunk 2008,Consensus,,,,,,,,,,,,
#343,Sutton 2014,Andrew,low,"and assessed their effectiveness
We, therefore, reviewed HIV/STI-focused behav- ioral interventions
Systematic Review, 1988e2012","


",low,"Potential studies for this review were identiﬁed through systematic search of the Prevention Research Synthesis (PRS) database [24]. The PRS database contains articles obtained from several databases including MEDLINE, AIDSLINE, EMBASE, Psy- cINFO, and Sociological abstracts, including articles about HIV/ STI from 1988 through 2012","
",low,,,low,"no studies were scored as low- quality (Table 5).
To assess methodologic quality,
quasiexperimental trial with a comparison arm; (5)
the study was either a randomized controlled trial (RCT)","



"
#343,Sutton 2014,Consensus,,,,,,,,,,,,
#15,Tang 2012,Andrew,low,,,low,,,low,,,low,,
#15,Tang 2012,Consensus,,,,,,,,,,,,
#12,Thomas 2000,Andrew,high,,,high,,,high,,,high,,
#12,Thomas 2000,Consensus,,,,,,,,,,,,
#10,Tolli 2012,Andrew,low,a systematic review of European studies,"
",low,,,low,,,low,,
#10,Tolli 2012,Consensus,,,,,,,,,,,,
#8,Trivedi 2009,Andrew,high,"As our aim was to scope the literature in this area, we conducted a mapping rather than a systematic review.","
",low,"excluded those focusing on interventions speciﬁcally for the prevention of HIV and/or sexually transmitted infections.
We included studies considered to have some appli- cability to UK settings
mapping can demonstrate the types of studies that exist, answer questions about what ev- idence is available and identify gaps in research","


",low,,,high,,
#8,Trivedi 2009,Consensus,,,,,,,,,,,,
#3,Underhill 2007,Andrew,low,,,low,,,low,,,low,,
#3,Underhill 2007,Consensus,,,,,,,,,,,,
#5,Underhill 2008,Andrew,low,,,low,,,low,,,low,,
#5,Underhill 2008,Consensus,,,,,,,,,,,,
#265,Usinger 2016,Andrew,low,The purpose of this SR was to examine 12-month continuation rates for IUDs compared with other forms of contraception in young women aged 25 years and younger.,"
",low,"systematic database search of Ovid Medline, Cochrane Library, and Embase was conducted in the ﬁrst week of October 2014 then rerun in November 2015 using all possible combinations of terms from each category (Appendix A). No date restrictions were used.","
",low,,,high,"These factors could all inﬂuence IUD placement, discomfort, expulsion, and measured continuation rates.","
"
#265,Usinger 2016,Consensus,,,,,,,,,,,,
#263,Wakhisi 2011,Andrew,low,the efficacy of a social marketing approach in the reduction of unintended teenage pregnancies in selected OECD countries.,"
",low,,,low,,,low,,
#263,Wakhisi 2011,Consensus,,,,,,,,,,,,
#255,Widman 2018,Andrew,low,"Thus, the goal of this meta-analysis is to synthesize the growing literature on","
",low,We conducted a comprehensive search,"
",low,,,low,,
#255,Widman 2018,Consensus,,,,,,,,,,,,
#329,Wight 2013,Andrew,low,To assess the effectiveness of interventions,"
",low,The following databases were systematically searched,"
",low,,,low,"Studies had to be experimental, quasi-experimental, or of the before-and-after type. Results","
"
#329,Wight 2013,Consensus,,,,,,,,,,,,
#250,Wilson 2015,Andrew,low,,,low,,,low,,,low,,all RCTs
#250,Wilson 2015,Consensus,,,,,,,,,,,,
#246,Zapata 2015,Andrew,low,,,low,,,low,,,low,,
#246,Zapata 2015,Consensus,,,,,,,,,,,,
#245,Zoritch 1998,Andrew,low,,,low,,,low,,,low,,
#245,Zoritch 1998,Consensus,,,,,,,,,,,,
