Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
The effectiveness of social marketing in reduction of teenage pregnancies: a review of studies in developed countries (Structured abstract),"Wakhisi, As; Allotey, P; Dhillon, N; Reidpath, Dd","The aim of this study was to determine the effectiveness of a social marketing approach in reduction of unintended teenage pregnancies. We identified studies undertaken between 1990 and 2008 through electronic searches of databases, manual searches of bibliographies, and consultations with experts. Twelve studies that met the inclusion criteria were selected for further analysis. Results showed variation in intervention effects across specified outcomes (reduction in unintended pregnancies, delayed sexual initiation, contraceptive use at last intercourse, knowledge of contraception and reproductive health, and self-efficacy to refuse unwanted sex). Of the 12 studies, 9 reported significant effects on at least one of the outcomes. Long-term interventions were generally more effective than short-term ones for most outcomes. The impact on male participants' sexual behavior was minimal in most studies. Overall, social marketing appears to be an effective approach in reducing teenage pregnancies and influencing sexual behavior change, but the evidence is limited to particular outcomes and context. There is, therefore, need for more primary studies specifically designed around social marketing principles for more robust evaluations. The minimal impact on male participants' behavior also warrants further investigation.",2011,,Social Marketing Quarterly,17,1,56-90,DARE-12011005951,10.1080/15245004.2010.546941,,#263,Wakhisi 2011,,
"Intervention now to eliminate repeat unintended pregnancy in teenagers (INTERUPT): A systematic review of intervention effectiveness and cost-effectiveness, and qualitative and realist synthesis of implementation factors and user engagement","Whitaker, R.; Hendry, M.; Aslam, R.; Booth, A.; Carter, B.; Charles, J. M.; Craine, N.; Edwards, R. T.; Noyes, J.; Ntambwe, L. I.; Pasterfield, D.; Rycroft-Malone, J.; Williams, N.","Background: The UK has one of the highest rates of teenage pregnancies in Western Europe. One-fifth of these are repeat pregnancies. Unintended conceptions can cause substantial emotional, psychological and educational harm to teenagers, often with enduring implications for life chances. Babies of teenage mothers have increased mortality and are at a significantly increased risk of poverty, educational underachievement and unemployment later in life, with associated costs to society. It is important to identify effective, cost-effective and acceptable interventions. Objectives: To identify who is at the greatest risk of repeat unintended pregnancies; which interventions are effective and cost-effective; and what the barriers to and facilitators of the uptake of these interventions are. Data sources: We conducted a multistreamed, mixed-methods systematic review informed by service user and provider consultation to examine worldwide peer-reviewed evidence and UK-generated grey literature to find and evaluate interventions to reduce repeat unintended teenage pregnancies. We searched the following electronic databases: MEDLINE and MEDLINE In-Process & Other Non-Indexed Citations, PsycINFO, Cumulative Index to Nursing and Allied Health Literature, The Cochrane Library (Cochrane Database of Systematic Reviews, Database of Abstracts of Reviews of Effects and the Health Technology Assessment Database), EMBASE (Excerpta Medica database), British Nursing Index, Educational Resources Information Center, Sociological Abstracts, Applied Social Sciences Index and Abstracts, BiblioMap (the Evidence for Policy and Practice Information and Co-ordinating Centre register of health promotion and public health research), Social Sciences Citation Index (supported by Web of Knowledge), Research Papers in Economics, EconLit (American Economic Association’s electronic bibliography), OpenGrey, Scopus, Scirus, Social Care Online, National Research Register, National Institute for Health Research Clinical Research Network Portfolio and Index to THESES. Searches were conducted in May 2013 and updated in June 2014. In addition, we conducted a systematic search of Google (Google Inc., Mountain View, CA, USA) in January 2014. Database searches were guided by an advisory group of stakeholders. Review methods: To address the topic’s complexities, we used a structured, innovative and iterative approach combining methods tailored to each evidence stream. Quantitative data (effectiveness, cost-effectiveness, risk factors and effect modifiers) were synthesised with reference to Cochrane guidelines for evaluating evidence on public health interventions. Qualitative evidence addressing facilitators of and barriers to the uptake of interventions, experience and acceptability of interventions was synthesised thematically. We applied the principles of realist synthesis to uncover theories and mechanisms underpinning interventions (what works, for whom and in what context). Finally, we conducted an overarching narrative of synthesis of evidence and gathered service user feedback. Results: We identified 8664 documents initially, and 816 in repeat searches. We filtered these to 12 randomised controlled trials (RCTs), four quasi-RCTs, 10 qualitative studies and 53 other quantitative studies published between 1996 and 2012. None of the RCTs was based in the UK. The RCTs evaluated an emergency contraception programme and psychosocial interventions. We found no evidence for effectiveness with regard to condom use, contraceptive use or rates of unprotected sex or use of birth control. Our primary outcome was repeat conception rate: the event rate was 132 of 308 (43%) in the intervention group versus 140 of 289 (48%) for the control goup, with a non-significant risk ratio (RR) of 0.92 [95% confidence interval (CI) 0.78 to 1.08]. Four studies reported subsequent birth rates: 29 of 237 (12%) events for the intervention arm versus 46 out of 224 (21%) for the control arm, with a RR of 0.60 (95% CI 0.39 to 0.93). Many repeat conceptions occurred in the context of pov rty, low expectations and aspirations, and negligible opportunities. Service user feedback suggested that there were specific motivations for many repeat conceptions, for example to replace loss or to please a partner. Realist synthesis highlighted that context, motivation, planning for the future and letting young women take control with connectedness and tailoring provide a conceptual framework for future research. Limitations: Included studies rarely characterised adolescent pregnancy as intended or unintended, that is interventions to reduce repeat conceptions rarely addressed whether or not pregnancies were intended. Furthermore, interventions were often not clearly defined, had multiple aims and did not indicate which elements were intended to address which aims. Nearly all of the studies were conducted in the USA and focused largely on African American or Hispanic and Latina American populations. Conclusions: We found no evidence to indicate that existing interventions to reduce repeat teenage pregnancy were effective; however, subsequent births were reduced by home-based interventions. Qualitative and realist evidence helped to explain gaps in intervention design that should be addressed. More theory-based, rigorously evaluated programmes need to be developed to reduce repeat teenage pregnancy in the UK. © Queen’s Printer and Controller of HMSO 2016.",2016,,Health Technology Assessment,20,16,1-214,,10.3310/hta20160,,#257,Whitaker 2016,,
Technology-Based Interventions to Reduce Sexually Transmitted Infections and Unintended Pregnancy Among Youth,"Widman, L.; Nesi, J.; Kamke, K.; Choukas-Bradley, S.; Stewart, J. L.","Purpose: Technology-based interventions to promote sexual health have proliferated in recent years, yet their efficacy among youth has not been meta-analyzed. This study synthesizes the literature on technology-based sexual health interventions among youth. Methods: Studies were included if they (1) sampled youth ages 13–24; (2) utilized technology-based platforms; (3) measured condom use or abstinence as outcomes; (4) evaluated program effects with experimental or quasi-experimental designs; and (5) were published in English. Results: Sixteen studies with 11,525 youth were synthesized. There was a significant weighted mean effect of technology-based interventions on condom use (d =.23, 95% confidence interval [CI] [.12,.34], p <.001) and abstinence (d =.21, 95% CI [.02,.40], p =.027). Effects did not differ by age, gender, country, intervention dose, interactivity, or program tailoring. However, effects were stronger when assessed with short-term (1–5 months) than with longer term (greater than 6 months) follow-ups. Compared with control programs, technology-based interventions were also more effective in increasing sexual health knowledge (d =.40, p <.001) and safer sex norms (d =.15, p =.022) and attitudes (d =.12, p =.016). Conclusions: After 15 years of research on youth-focused technology-based interventions, this meta-analysis demonstrates their promise to improve safer sex behavior and cognitions. Future work should adapt interventions to extend their protective effects over time. © 2018 The Society for Adolescent Health and Medicine",2018,,Journal of Adolescent Health,62,6,651-660,,10.1016/j.jadohealth.2018.02.007,,#255,Widman 2018,,
Motivational interviews to improve contraceptive use in populations at high risk of unintended pregnancy: A systematic review and meta-analysis,"Wilson, A.; Nirantharakumar, K.; Truchanowicz, E. G.; Surenthirakumaran, R.; Macarthur, C.; Coomarasamy, A.","Objective Effective contraceptive use has the potential to prevent around 230 million births each year. An estimated 222 million women want to delay pregnancy or cease childbearing, but are not actively using contraception. Lack of education is a known barrier for effective contraceptive use. Motivational interviews are presumed to improve effective contraceptive use, but studies to date report varied findings. Some studies demonstrate an improvement and others report no effect. Study design A systematic review of evidence on the impact of motivational interviews on contraceptive use in women of childbearing age was carried out using MEDLINE, EMBASE, BNI, Cochrane library, CINHAL, African Index Medicus, Web of Science, the Reproductive Health Library, and the Science Citation Index (inception-January 2013) without language restriction. Search terms included 'motivational interview∗AND contraception OR family planning OR maternal OR pregnancy'. Randomised controlled trials comparing the effect of motivational interviews with standard practice on effective contraception use in women of reproductive age were included. The outcome measures were use of effective contraception or use of high-level contraception, and subsequent births or pregnancies. The random effects model was used to pool the risk ratios from individual studies. Results Eight randomised controlled trials were included in the review with a total of 3424 women at high risk of pregnancy. Meta-analysis showed an increase in effective contraceptive use with motivational interviews when compared with control (RR 1.32 95%CI 1.11, 1.56: P = 0.002) in the period of zero to four months post intervention. No difference in effective contraceptive use was shown at four to eight months (RR 1.10, 95%CI 0.93, 1.32: P = 0.27), and between eight to twelve months (RR 1.18 95%CI 0.96, 1.46: P = 0.12). No evidence of effect in the reduction of subsequent pregnancies or births at twelve to twenty-four months was seen with motivational interviews (RR 0.80 95%CI 0.51, 1.26: P = 0.34). Conclusion Motivational interviews significantly increase effective contraceptive use immediately after and up to four months post-intervention. The effect without reinforcement is short lasting as no evidence of effect is seen after four months post-intervention. © 2015 Elsevier Ireland Ltd. All rights reserved.",2015,,European Journal of Obstetrics Gynecology and Reproductive Biology,191,,72-79,,10.1016/j.ejogrb.2015.05.010,,#250,Wilson 2015,,
Interventions using new digital media to improve adolescent sexual health: A systematic review,"Guse, K.; Levine, D.; Martins, S.; Lira, A.; Gaarde, J.; Westmorland, W.; Gilliam, M.","New digital media (e.g., the Internet, text messaging, and social networking sites [SNS]) have dramatically altered the communication landscape, especially for youth. These communication platforms present new tools for engaging youth in sexual health promotion and risk reduction. We searched eight public databases across multiple disciplines for all peer-reviewed studies published between January 2000 and May 2011 that empirically evaluated the impact of digital media-based interventions on the sexual health knowledge, attitudes, and/or behaviors of adolescents aged 13-24 years. Of 942 abstracts, 10 met inclusion criteria. Seven studies were conducted in the United States. Eight described Web-based interventions, one used mobile phones, and one was conducted on an SNS. Two studies significantly delayed initiation of sex, and one was successful in encouraging users of an SNS to remove sex references from their public profile. Seven interventions significantly influenced psychosocial outcomes such as condom self-efficacy and abstinence attitudes, but at times the results were in directions unexpected by the study authors. Six studies increased knowledge of HIV, sexually transmitted infections, or pregnancy. This area of research is emerging and rapidly changing. More data from controlled studies with longer (>1 year) follow-up and measurement of behavioral outcomes will provide a more robust evidence base from which to judge the effectiveness of new digital media in changing adolescent sexual behavior. © 2012 Society for Adolescent Health and Medicine.",2012,,Journal of Adolescent Health,51,6,535-543,,10.1016/j.jadohealth.2012.03.014,,#172,Guse 2012,,
Sexuality education and young people's sexual behavior: a review of studies,"Grunseit, A.; Kippax, S.; Aggleton, P.; Baldo, M.; Slutkin, G.","Sexuality education for children and young adults is one of the most heavily debated issues facing policy-makers, national AIDS program planners, and educators, provoking arguments over how explicit education materials should be, how much of it there should be, how often it should be given, and at what age instruction should commence. In this context, the World Health Organization's Global Program on AIDS' Office of Intervention Development and Support commissioned a comprehensive literature review to assess the effects of HIV/AIDS and sexuality education upon young people's sexual behavior. 52 reports culled from a search of 12 literature databases were reviewed. The main purpose of the review is to inform policy-makers, program planners, and educators about the impact of HIV and/or sexuality education upon the sexual behavior of youth as described in the published literature. Of 47 studies which evaluated interventions, 25 reported that HIV/AIDS and sexuality education neither increased nor decreased sexual activity and attendant rates of pregnancy and sexually transmitted diseases (STDs). 17 reported that HIV and/or sexuality education delayed the onset of sexual activity, reduced the number of sex partners, or reduced unplanned pregnancy and STD rates Only 3 studies found increases in sexual behavior associated with sexuality education. Inadequacies in study design, analytic techniques, outcome indicators, and the reporting of statistics are discussed.eng",1997,Oct,Journal of Adolescent Research,12,4,421-53,12348560,,,#175,Grunseit 1997,,
Behavioral Sexual Risk-Reduction Counseling in Primary Care to Prevent Sexually Transmitted Infections: A Systematic Review for the U.S. Preventive Services Task Force,"O'Connor, Elizabeth A.; Lin, Jennifer S.; Burda, Brittany U.; Henderson, Jillian T.; Walsh, Emily S.; Whitlock, Evelyn P.","Sexually transmitted infections (STIs) are common and preventable.To update a previous systematic review about the benefits and harms of sexual risk-reduction counseling to prevent STIs for the U.S. Preventive Services Task Force.Selected databases from January 2007 through October 2013, manual searches of references lists and gray literature, and studies from the previous review.English-language fair- or good-quality trials conducted in adolescents or adults.One investigator abstracted data and a second checked the abstraction. Study quality was dual-reviewed.31 trials were included: 16 (n = 56 110) were newly published and 15 (n = 14 214) were from the previous review. Most trials targeted persons at increased risk for STIs based on sociodemographic characteristics, risky sexual behavior, or history of an STI. High-intensity (&gt;2 hours) interventions reduced STI incidence in adolescents (odds ratio, 0.38 [95% CI, 0.24 to 0.60]) and adults (odds ratio, 0.70 [CI, 0.56 to 0.87]). Lower-intensity interventions were generally not effective in adults, but some approaches were promising. Although moderate-intensity interventions may be effective in adolescents, data were very sparse. Reported behavioral outcomes were heterogeneous and most likely to show a benefit with high-intensity interventions at 6 months or less. No consistent evidence was found that sexual risk-reduction counseling was harmful.Low-risk populations and male adolescents were underrepresented. Reliability of self-reported behavioral outcomes was unknown.High-intensity counseling on sexual risk reduction can reduce STIs in primary care and related settings, especially in sexually active adolescents and in adults at increased risk for STIs.Agency for Healthcare Research and Quality.",2014,,Annals of Internal Medicine,161,12,874-883,,10.7326/M14-0475,,#341,O'Connor 2014,"Andrew Baxter (2020-05-27 21:03:02)(Select): Only relevant outcome
""Six trials (n  3030) reported sexual behavior outcomes,
and most found beneficial effects for some behavioral
outcomes (8, 14–18). Measures of behavior change
were very heterogeneous. Measures of condom use or unprotected
sex were the most commonly reported behavioral
outcomes.""; ",
"Impact of Parent-Child Communication Interventions on Sex Behaviors and Cognitive Outcomes for Black/African-American and Hispanic/Latino Youth: A Systematic Review, 1988–2012","Sutton, Madeline Y.; Lasswell, Sarah M.; Lanier, Yzette; Miller, Kim S.","PurposeWe reviewed human immunodeficiency virus (HIV) and sexually transmitted infection (STI)- behavioral interventions implemented with disproportionately affected black/African-American and Hispanic/Latino youth and designed to improve parent-child communications about sex. We compared their effectiveness in improving sex-related behavior or cognitive outcomes.MethodsA search of electronic databases identified peer-reviewed studies published between 1988 and 2012. Eligible studies were U.S.-based parent-child communication interventions with active parent components, experimental and quasiexperimental designs, measurement of youth sexual health outcomes, and enrollment of ≥50% black/African-American or Hispanic/Latino youth. We conducted systematic, primary reviews of eligible papers to abstract data on study characteristics and youth outcomes.ResultsFifteen studies evaluating 14 interventions were eligible. Although youth outcome measures and follow-up times varied, 13 of 15 studies (87%) showed at least one significantly improved youth sexual health outcome compared with controls (p < .05). Common components of effective interventions included joint parent and child session attendance, promotion of parent/family involvement, sexuality education for parents, developmental and/or cultural tailoring, and opportunities for parents to practice new communication skills with their youth.ConclusionsParent-child communication interventions that include parents of youth disproportionately affected by HIV/STIs can effectively reduce sexual risk for youth. These interventions may help reduce HIV/STI-related health disparities and improve sexual health outcomes.",2014,,Journal of Adolescent Health,54,4,369-384,,https://doi.org/10.1016/j.jadohealth.2013.11.004,,#343,Sutton 2014,,
Abstinence-based programs for prevention of adolescent pregnancies: A review,"Thomas, M. H.","This article assesses the abstinence-based programs developed by family life educators and the factors associated with positive results through a review of abstinence promotion programs of the federal government. In 1996, Section 510 was added to Title V of the Social Security Act allocating US$50 million annually from 1998-2000 to fund abstinence education programs, while in 1997, a National Strategy to Prevent Teen Pregnancy was launched by the Office of Adolescent Pregnancy Prevention to provide teen pregnancy programs to at least 25% of the communities. Presented in this paper is a discussion of the Abstinence Only programs, which focus on the prevention of pregnancy and sexually transmitted disease among adolescents, and the Abstinence Plus programs, which emphasize other prevention methods as well as abstinence. Evaluation of Abstinence Only programs include Success Express, Project Taking Charge, Sex Respect, Teen Aid, Values and Choices and Facts and Feelings. Moreover, programs such as Reducing the Risk, Postponing Sexual Involvement, Project Education Now, and Babies Later were evaluated under the Abstinence Plus programs. Several programs evaluated have shown to have a positive effect on attitudes among adolescents, but are not proven to have a significant effect on sexual behavior. In conclusion, this article encourages exploration of new approaches to address teen pregnancy and the increasing incidence of sexually transmitted diseases among adolescents, while the federal government must utilize the implementation of existing programs with positive effects.eng",2000,January,Journal of Adolescent Health,26,1,May-17,30003972,,,#12,Thomas 2000,,
Early fatherhood: a mapping of the evidence base relating to pregnancy prevention and parenting support,"Trivedi, D.; Brooks, F.; Bunn, F.; Graham, M.","Teenage pregnancy prevention programmes targeted at young women have received considerable attention from researchers and programme developers. However, to date, relatively limited information is available on preventing teenage fatherhood or improving outcomes for young fathers. A notable gap is concerned with understanding the forms of sexual health programmes that are most effective from the perspective of young men. We conducted a systematic mapping to identify studies involving young men aimed at preventing teenage pregnancy, improving outcomes for teenage fathers or exploring the perspectives of young men around pregnancy and fatherhood. We searched a wide range of electronic databases from January 1996 to August 2008. Three quantitative and 15 qualitative studies were identified, of which nine were UK based. Key themes related to the inappropriateness of current sexual health promotion to respond to the needs of young men. While young men often possessed very similar ideals to young women, existing programmes were problematic when they negatively stereotyped young men and ineffectively addressed models of masculinity or the difficulties young men may have forming meaningful relationships. Further investigations are required on programme development for young men, particularly on sexual health promotion interventions for 'looked-after' young men and those from unstable childhoods.",2009,Dec,Health Education Research,24,6,999-1028,19407211,10.1093/her/cyp025,,#8,Trivedi 2009,,
An umbrella review of meta-analyses of interventions to improve maternal outcomes for teen mothers,"SmithBattle, L.; Loman, D. G.; Chantamit-o-pas, C.; Schneider, J. K.","The purpose of this study was to perform an umbrella review of meta-analyses of intervention studies designed to improve outcomes of pregnant or parenting teenagers. An extensive search retrieved nine reports which provided 21 meta-analyses analyses. Data were extracted by two reviewers. Methodological quality was assessed using the AMSTAR Instrument. Most effect sizes were small but high quality studies showed significant outcomes for reduced low birth weight (RR = 0.60), repeat pregnancies/births (OR = 0.47–0.62), maternal education (OR = 1.21–1.83), and maternal employment (OR = 1.26). Several parenting outcomes (parent-child teaching interaction post-intervention [SMD = −0.91] and at follow-up [SMD = −1.07], and parent-child relationship post-intervention [SMD = −0.71] and at follow-up [SMD = −0.90]) were significant, but sample sizes were very small. Many reports did not include moderator analyses. Behavioral interventions offer limited resources and occur too late to mitigate the educational and social disparities that precede teen pregnancy. Future intervention research and policies that redress the social determinants of early childbearing are recommended. © 2017",2017,,Journal of Adolescence,59,,97-111,,10.1016/j.adolescence.2017.05.022,,#31,SmithBattle 2017,,
A Review of Interventions With Parents to Promote the Sexual Health of Their Children,"Wight, Daniel; Fullerton, Deirdre","PurposeTo assess the effectiveness of interventions involving parents or carers intended to improve the sexual health of their children.MethodsEleven databases were searched for evaluations of interventions with some parental involvement and with outcomes related to the sexual health of the parents' children. Studies had to be experimental, quasi-experimental, or of the before-and-after type. Results were analyzed in a narrative systematic review, taking account of methodological quality.ResultsWe identified adequately robust evaluations of 44 programs, delivered in diverse settings. In nearly all cases, the parenting component focused on improving parent–child communication about sex. In general, where measured, parent–child interaction and adolescents' knowledge and attitudes improved, but sexual behavior outcomes only improved in approximately half the studies. Three programs in which the parenting component made up at least one-fourth of the overall program were found, through randomized controlled trials, to modify some aspect of adolescents' sexual behavior. All programs involved parents for at least 14 hours, were community-based, and encouraged delayed sex.ConclusionsTargeted programs with intensive parental involvement can modify adolescents' sexual behavior, although the review was limited by the lack of rigorous evaluations. Few programs addressed behavioral control, parent–child connectedness, or parental modeling, all suggested by observational research.",2013,,Journal of Adolescent Health,52,1,Apr-27,,https://doi.org/10.1016/j.jadohealth.2012.04.014,,#329,Wight 2013,,
"Programs to reduce teen pregnancy, sexually transmitted infections, and associated sexual risk behaviors: A systematic review","Goesling, B.; Colman, S.; Trenholm, C.; Terzian, M.; Moore, K.","Purpose: This systematic review provides a comprehensive, updated assessment of programs with evidence of effectiveness in reducing teen pregnancy, sexually transmitted infections (STIs), or associated sexual risk behaviors. Methods: The review was conducted in four steps. First, multiple literature search strategies were used to identify relevant studies released from 1989 through January 2011. Second, identified studies were screened against prespecified eligibility criteria. Third, studies were assessed by teams of two trained reviewers for the quality and execution of their research designs. Fourth, for studies that passed the quality assessment, the review team extracted and analyzed information on the research design, study sample, evaluation setting, and program impacts. Results: A total of 88 studies met the review criteria for study quality and were included in the data extraction and analysis. The studies examined a range of programs delivered in diverse settings. Most studies had mixed-gender and predominately African-American research samples (70% and 51%, respectively). Randomized controlled trials accounted for the large majority (87%) of included studies. Most studies (76%) included multiple follow-ups, with sample sizes ranging from 62 to 5,244. Analysis of the study impact findings identified 31 programs with evidence of effectiveness. Conclusions: Research conducted since the late 1980s has identified more than two dozen teen pregnancy and STI prevention programs with evidence of effectiveness. Key strengths of this research are the large number of randomized controlled trials, the common use of multiple follow-up periods, and attention to a broad range of programs delivered in diverse settings. Two main gaps are a lack of replication studies and the need for more research on Latino youth and other high-risk populations. In addressing these gaps, researchers must overcome common limitations in study design, analysis, and reporting that have negatively affected prior research. © 2014 Society for Adolescent Health and Medicine. All rights reserved.",2014,,Journal of Adolescent Health,54,5,499-507,,10.1016/j.jadohealth.2013.12.004,,#181,Goesling 2014,,
The health and welfare effects of day-care: A systematic review of randomised controlled trials,"Zoritch, B.; Roberts, I.; Oakley, A.","Day-care has long been a controversial aspect of social policy in countries such as the U.K. What evidence is there about the effects of out-of-home day-care on educational, health and welfare outcomes for children and their families? This paper applies to day-care studies, the methodology of the systematic review as pioneered in the health care field, in order to establish the evidence-base for day-care provision. Randomised controlled trials of day-care for pre-school children were identified using electronic databases, hand searches of relevant literature and contacts with authors. A total of 8 trials were identified after examining 920 abstracts and 19 books. All the trials were carried out in the U.S.A. European research on this topic is extensive but we did not identify any studies using trial design. Instead observational, case controlled and cohort studies were prominent. The trials were assessed for methodological quality. Results showed that day-care promotes children's intelligence, development and school achievement. Long-term follow up demonstrates increased employment, lower teenage pregnancy rates, higher socio-economic status and decreased criminal behaviour. There are positive effects on mothers' education, employment and interaction with children. Effects on fathers have not been examined. Few studies look at a range of outcomes spanning the health, education and welfare domains. Most of the trials combined non-parental day-care with some element of parent training or education (mostly targeted at mothers); they did not disentangle the possible effects of these two interventions. The trials had other significant methodological weaknesses, pointing to the importance of improving on study design in this field. There is a need for well designed research on day-care to provide an evidence-base for British social policy.",1998,01-Aug,Social Science and Medicine,47,3,317-327,,,,#245,Zoritch 1998,,
Electronic Media–Based Health Interventions Promoting Behavior Change in Youth: A Systematic Review,"Hieftje, Kimberly; Edelman, E. Jennifer; Camenga, Deepa R.; Fiellin, Lynn E.","Little research has been done on the efficacy of electronic media–based interventions, especially on their effect on health or safety behavior. The current review systematically identified and evaluated electronic media–based interventions that focused on promoting health and safety behavior change in youth.To assess the type and quality of the studies evaluating the effects of electronic media–based interventions on health and safety behavior change.Studies were identified from searches in MEDLINE (1950 through September 2010) and PsycINFO (1967 through September 2010). The review included published studies of interventions that used electronic media and focused on changes in behavior related to health or safety in children aged 18 years or younger.Nineteen studies met the criteria and focused on at least 1 behavior change outcome. The focus was interventions related to physical activity and/or nutrition in 7 studies, on asthma in 6, safety behaviors in 3, sexual risk behaviors in 2, and diabetes mellitus in 1. Seventeen studies reported at least 1 statistically significant effect on behavior change outcomes, including an increase in fruit, juice, or vegetable consumption; an increase in physical activity; improved asthma self-management; acquisition of street and fire safety skills; and sexual abstinence. Only 5 of the 19 studies were rated as excellent.Our systematic review suggests that interventions using electronic media can improve health and safety behaviors in young persons, but there is a need for higher-quality, rigorous interventions that promote behavior change.",2013,,JAMA Pediatrics,167,6,574-580,,10.1001/jamapediatrics.2013.1095,,#344,Hieftje 2013,Andrew Baxter (2020-06-18 01:47:42)(Select): both seem to be USA-based studies; Meigan Thomson (2020-06-10 23:06:19)(Select): me neither - the sexual risk behaviours is only 2 studies - is this worthwhile including?; Andrew Baxter (2020-05-29 20:42:45)(Select): cant find any mention of what countries the two studies were conducted in?; ,
Emergency contraception. Widely available and effective but disappointing as a public health intervention: a review,Eshre CapriWorkshop Group,"Emergency contraception (EC) prevents pregnancy after unprotected sex or contraceptive failure. Use of EC has increased markedly in countries where a product is available over the counter, yet barriers to availability and use remain. Although effective in clinical trials, it has not yet been possible to show a public health benefit of EC in terms of reduction of unintended pregnancy rates. Selective progesterone receptor modulators developed as emergency contraceptives offer better effectiveness than levonorgestrel, but still EC is less effective than use of ongoing regular contraception. Methods which inhibit ovulation whenever they are taken or which act after ovulation to prevent implantation and strategies to increase the uptake of effective ongoing contraception after EC use would prevent more pregnancies.",2015,Apr,Human Reproduction,30,4,751-60,25678571,10.1093/humrep/dev019,,#177,EshreCapriWorkshopGroup 2015,Meigan Thomson (2020-06-10 01:55:55)(Select): 2 studies on adolescents - is this enough to go through?; ,
A Systematic Review and Meta-analysis of Interventions for Sexual Health Promotion Involving Serious Digital Games,"DeSmet, A.; Shegog, R.; Van Ryckeghem, D.; Crombez, G.; De Bourdeaudhuij, I.","OBJECTIVE: Serious games may be effective in promoting sexual health behavior. Their confidential nature may encourage users to discuss sensitive sexuality topics. Furthermore, they can tailor messages to the individual's needs and may be intrinsically motivating. This meta-analysis investigates the effectiveness of interventions for sexual health promotion that use serious games. MATERIALS AND METHODS: A database search was conducted in PubMed, Web of Science, CINAHL, and PsycINFO for publications before the end of July 2013. Serious digital games studies measuring effects on behavior or its determinants, using a control condition, allowing the calculation of an effect size (Hedges' g, random-effects model) were included. RESULTS: Seven game studies for sexual health promotion were included. These showed positive effects on determinants (g=0.242; 95 percent confidence interval, 0.129, 0.356), albeit of small effect size. The effects on behavior, measured in only two studies, were not significant (g=0.456; 95 percent confidence interval, -0.649, 1.561). Most games did not use many game features that are considered to be immersive or enhancing flow. Instead, there was a strong reliance on pure gamification features, such as rewards and feedback. CONCLUSIONS: The effectiveness of the next generation of games may be enhanced by building on the behavioral change and educational gaming literatures (e.g., using role-play and simulation game formats, individual tailoring, offering adaptation in the difficulty of the challenge, and amount and timing of the feedback). There is a need for studies with rigorous evaluations of game effectiveness, longer-term follow-up, and using measures of behavior rather than merely their determinants.",2015,01-Apr,Games for health journal,4,2,78-90,616761303,10.1089/g4h.2014.0110,,#205,DeSmet 2015,,
Some (But Not Much) Progress Toward Understanding Teenage Childbearing. A Review of Research from the Past Decade,"Coyne, C. A.; D'Onofrio, B. M.","In the decade and a half since Coley and Chase-Lansdale's (1998) review of teenage childbearing, there have been a number of studies investigating teenage childbearing from a developmental psychological perspective. Many of these studies have focused primarily on identifying individual, familial, and socioeconomic risk factors in childhood and adolescence that are highly correlated with teenage sexual behavior and teenage childbearing. We have an emerging understanding of teenage childbearing as the culmination of a complex cascade of experiences and decisions that overlap greatly with the risks for antisocial behavior. Much of this research, however, is limited by its reliance on correlational and cross-sectional research designs, which are not able to rigorously test causal inferences or to identify mechanisms associated with teenage childbearing. Innovative studies using large, nationally representative samples with quasi-experimental and longitudinal designs can expand on such descriptive studies. In particular, quasi-experimental studies can help answer questions about which risk factors are causally associated with teenage childbearing and suggest potential mechanisms that can explain how teenage childbearing is associated with poor outcomes. Future studies also will need to incorporate more precise measures of developmental processes and explore heterogeneity among adolescent mothers. Although advances have been made in the psychological study of teenage childbearing, more research is needed in order to answer important questions about which psychological processes are causally related to teenage childbearing and how teenage childbearing is associated with poor outcomes for young mothers and their offspring. © 2012 Elsevier Inc.",2012,,Advances in Child Development and Behavior,42,,113-152,364592036,,,#217,Coyne 2012,,
